filename,timestamp
2009_07_09_Site2_tls.las,2009-07-09
2009_08_04_Site2_tls.las,2009-08-04
2009_10_28_Site2_tls.las,2009-10-28
2010_09_07_Site2_tls.las,2010-09-07
2010_09_08_Site2_tls.las,2010-09-08
2010_09_09_Site2_tls.las,2010-09-09
2010_09_10_Site2_tls.las,2010-09-10
2010_09_11_Site2_tls.las,2010-09-11
2010_10_04_Site2_tls.las,2010-10-04
2010_10_07_Site2_tls.las,2010-10-07
2010_10_08_Site2_tls.las,2010-10-08
2010_10_11_Site2_tls.las,2010-10-11
2010_10_22_Site2_tls.las,2010-10-22
2011_07_22_Site2_tls.las,2011-07-22
2011_09_23_Site2_tls.las,2011-09-23
2011_09_26_Site2_tls.las,2011-09-26
2011_09_27_Site2_tls.las,2011-09-27
2011_09_28_Site2_tls.las,2011-09-28
2011_09_29_Site2_tls.las,2011-09-29
2011_09_30_Site2_tls.las,2011-09-30
2011_10_03_Site2_tls.las,2011-10-03
2012_03_28_Site2_tls.las,2012-03-28
2012_04_06_Site2_tls.las,2012-04-06
2012_04_08_Site2_tls.las,2012-04-08
2012_05_03_Site2_tls.las,2012-05-03
2012_06_11_Site2_tls.las,2012-06-11
2012_07_09_Site2_tls.las,2012-07-09
2012_08_23_Site2_tls.las,2012-08-23
2012_10_12_Site2_tls.las,2012-10-12
2012_11_29_Site2_tls.las,2012-11-29
2013_03_22_Site2_tls.las,2013-03-22
2013_03_27_Site2_tls.las,2013-03-27
2013_03_28_Site2_tls.las,2013-03-28
2013_03_29_Site2_tls.las,2013-03-29
2013_04_03_Site2_tls.las,2013-04-03
2013_07_22_Site2_tls.las,2013-07-22
2015_06_08_Site2_airborne.las,2015-06-08
2017_01_24_Site2_airborne.las,2017-01-24
